RMSE_teste,MAE_teste,R2_teste,RMSE_treino,R2_treino
0.2548006991683772,0.13644426226134848,0.9494610982329224,0.2101915776774239,0.9695294090669262
0.3693096989152558,0.16035716151841076,0.9282058953645019,0.22223086249905005,0.9621758972411166
0.23817546089100228,0.10607917960346958,0.9562047118158307,0.2252023215271649,0.9652641632527151
0.23339330654685858,0.10487939113225905,0.9600720028775831,0.23380418160781527,0.9621715952662746
0.2403184668074622,0.11399900056961487,0.9586165056211622,0.21026882598910251,0.9690194492191567
0.18763085753948644,0.08737702859510273,0.9679355521060327,0.22413047071472203,0.966683889725679
0.31874099212438556,0.1448701321479253,0.92514062249935,0.22959275394020312,0.9635243583275147
0.3900664961406476,0.15710164542949812,0.9179901996273131,0.22124628385614137,0.9629049975429785
0.24927776096213927,0.11367818765828096,0.9543927274438383,0.21428524685626388,0.9681644535023625
0.3354989678623684,0.1457222873391201,0.9296189961559005,0.22966893543383216,0.9609264562576578
0.34669091824475884,0.14926275880570003,0.915845832155484,0.21274571599249564,0.9683200336069387
0.20900580374193198,0.0918948780489203,0.9653623807107856,0.2431551700204834,0.9596350991515524
0.22027451592672154,0.09328706450067865,0.9687866135849752,0.2287826657153608,0.9623759112300725
0.1744067812124525,0.09194154492911548,0.9776748819157755,0.2228486678425326,0.96561820205216
0.37083474920421516,0.1658169207693067,0.915974249066086,0.22348199895953377,0.963561819442182
0.3148518532439332,0.14152487770522063,0.9292724818128287,0.20714571239060545,0.9701058379086367
0.1358039637123644,0.07534642527387138,0.9867441501852876,0.2320121514041495,0.9620117814486251
0.2758278056542012,0.10120825323345298,0.9530544643108199,0.2343579117566593,0.9602191691181069
0.3218553626007771,0.14785895455538864,0.9359953131924224,0.24276341768028592,0.9570653752188644
0.26095083011078135,0.12257681186181557,0.9487645447415436,0.20686466007923376,0.9705331822393054
