RMSE_teste,MAE_teste,R2_teste,RMSE_treino,R2_treino
0.26385625357665266,0.16092287275135853,0.9458049834829468,0.21893450418952567,0.9669418397291708
0.27717343725947485,0.1627010754702929,0.9595600535221266,0.21773991393596312,0.9636891859892635
0.29790195976044076,0.154721176470723,0.9314858805704431,0.21467788213851083,0.9684349382678444
0.2547517886393185,0.157487571819416,0.9524297738846765,0.21976771680610566,0.9665773199957084
0.27358709319390173,0.1738664211507854,0.9463655192626913,0.22375527246269797,0.964917873519147
0.21338018165327788,0.14075503508108278,0.9585310154932933,0.23230492923424384,0.9642093706922874
0.2905776317788072,0.17537368128672856,0.937785053640652,0.21199079407295002,0.9689028499552241
0.29675272360678423,0.15968052123645,0.9525345192894548,0.21669501836090274,0.9644154654785847
0.3899577736019552,0.1966406810415482,0.8883902346413961,0.20848298079819905,0.9698651536386064
0.27201696595339414,0.15281081234191937,0.9537336685819802,0.21787103916876976,0.9648376982986893
0.33701912602196293,0.20672191114061517,0.920475710905101,0.20419214529467986,0.9708162478029837
0.21230881026518206,0.12438314197221285,0.9642589443327149,0.2296654928038913,0.9639895649047381
0.25039782998486787,0.14625231524714016,0.9596657951630991,0.22871437402878875,0.9623983694786872
0.2338512788321408,0.14881152517427174,0.9598628502166909,0.22472356675893734,0.9650372376876017
0.301732425865193,0.17040524540688004,0.9443717336949783,0.20852293325344812,0.9682766356074516
0.3296536119597494,0.1775009844826235,0.9224661073929017,0.21032474160567113,0.9691812360729688
0.3122971681516211,0.1629383498756474,0.9298998777217211,0.2273862691005028,0.9635115061407282
0.20080776161188355,0.11721054893476615,0.9751183486375483,0.23232783922248976,0.9609053691076918
0.3855266118890449,0.19101316828959952,0.9081669515960143,0.19511016756969007,0.9722667357516496
0.2739920524684336,0.17115401413548828,0.9435155160394275,0.21536162921839294,0.9680627670960038
